deck,card,symbol,market,date,end,adr,base_len,cluster_k,collapsed,provisional,band,tag,reason
A,0,EHC,US,2018-09-12,426,0.014420564283568249,15.0,3.0,0.0,3.0,2.0,,
A,1,KOD,US,2021-07-13,696,0.045017014898466066,8.0,3.0,0.0,2.5,2.0,,
A,2,ACLS,US,2022-02-16,1290,0.06782268241307707,31.0,3.0,0.0,3.0,2.0,,
A,3,STAA,US,2021-09-17,1185,0.04909947689673,9.0,4.0,0.0,2.5,2.0,,
A,4,COR,US,2022-12-16,1500,0.015929146427760034,11.0,3.0,0.0,3.0,2.0,,
A,5,GMED,US,2019-11-15,723,0.023364683112512406,7.0,6.0,0.0,3.0,2.0,,
A,6,LGND,US,2019-04-10,570,0.031316877877313465,4.0,3.0,0.0,2.0,1.0,,
A,7,WMG,US,2020-12-28,144,0.05542489690986674,6.0,4.0,0.0,2.0,1.0,,
A,8,DDOG,US,2021-08-19,483,0.03849380010033303,5.0,3.0,0.0,1.5,1.0,,
A,9,DBX,US,2019-05-08,282,0.03302829421969663,8.0,6.0,0.0,3.0,2.0,,
A,10,KR,US,2022-04-22,1335,0.02467965570576116,10.0,5.0,0.0,4.5,4.0,,
A,11,EBS,US,2019-09-26,687,0.050007114486162095,16.0,7.0,0.0,3.5,3.0,,
A,12,BRBR,US,2022-05-19,651,0.056482659754953465,9.0,4.0,0.0,2.5,2.0,,
A,13,EQT,US,2020-03-27,813,0.21013944117816163,10.0,3.0,0.0,3.0,2.0,,
A,14,PEN,US,2022-12-30,1509,0.0324530506628367,12.0,7.0,0.0,4.5,4.0,,
A,15,CRWD,US,2022-08-19,804,0.039173647910166566,7.0,3.0,0.0,3.0,2.0,,
A,16,CODX,US,2020-02-21,657,0.22190865500236628,9.0,7.0,0.0,4.5,4.0,,
A,17,CRIS,US,2021-04-28,1086,0.07861661344699238,27.0,5.0,0.0,3.5,3.0,,
A,18,CSL,US,2018-09-17,429,0.01216520306314448,14.0,6.0,0.0,3.5,3.0,,
A,19,PGEN,US,2018-10-08,444,0.0628078358964123,11.0,5.0,0.0,4.5,4.0,,
A,20,BLNK,US,2018-06-04,351,0.21130982530612002,12.0,7.0,0.0,4.5,4.0,,
A,21,ORCL,US,2019-07-16,636,0.016122083283622034,5.0,4.0,0.0,2.0,1.0,,
A,22,FANG,US,2021-04-12,1074,0.05070296938556407,26.0,4.0,0.0,2.5,2.0,,
A,23,KR,US,2022-04-27,1338,0.024420953297515223,13.0,3.0,0.0,3.0,2.0,,
A,24,MKSI,US,2018-03-22,306,0.028273645034915328,9.0,3.0,0.0,2.0,1.0,,
A,25,RNG,US,2017-07-13,132,0.02986324958224318,13.0,4.0,0.0,3.5,3.0,,
A,26,GDDY,US,2018-03-01,291,0.03113325540312791,4.0,3.0,0.0,2.0,1.0,,
A,27,TULP,US,2021-12-30,1254,0.45908241218044915,15.0,3.0,0.0,2.5,2.0,,
A,28,HRI,US,2023-06-26,1629,0.040704329495797976,4.0,3.0,0.0,2.5,2.0,,
A,29,DAL,US,2020-06-23,873,0.07425921989530807,13.0,5.0,0.0,4.5,4.0,,
A,30,NVDA,US,2023-04-28,1590,0.027431512059417084,9.0,3.0,0.0,2.0,1.0,,
A,31,LPSN,US,2019-09-05,672,0.03459861700027058,7.0,3.0,0.0,2.0,1.0,,
A,32,PCVX,US,2023-05-15,735,0.05261972779337415,5.0,3.0,0.0,2.5,2.0,,
A,33,NET,US,2020-06-10,186,0.05367900386732748,18.0,3.0,0.0,2.5,2.0,,
A,34,RIVN,US,2022-07-14,168,0.07766127311804615,5.0,3.0,0.0,3.0,2.0,,
A,35,SPB,US,2021-09-30,1194,0.03573339533543146,17.0,6.0,0.0,3.0,2.0,,
A,36,CVX,US,2022-03-31,1320,0.02754859064019626,16.0,4.0,0.0,2.5,2.0,,
A,37,MARA,US,2020-11-16,975,0.11317618476243922,18.0,4.0,0.0,3.0,2.0,,
A,38,CRWD,US,2021-08-06,543,0.03677583330718146,11.0,3.0,0.0,2.0,1.0,,
A,39,DASH,US,2022-04-14,339,0.07794967773725031,9.0,5.0,0.0,4.5,4.0,,
A,40,PGEN,US,2018-01-25,267,0.082395442838676,8.0,3.0,0.0,2.5,2.0,,
A,41,UCTT,US,2021-03-24,1062,0.07570436028544063,7.0,5.0,0.0,3.0,2.0,,
A,42,CNQ,US,2022-01-31,1278,0.03262476829358699,10.0,4.0,0.0,3.0,2.0,,
A,43,BAND,US,2019-06-14,399,0.043094845274050754,18.0,3.0,0.0,2.0,1.0,,
A,44,SONO,US,2021-04-27,687,0.04315688133058425,10.0,3.0,0.0,3.5,3.0,,
A,45,AMZN,US,2018-04-23,327,0.03290452245228696,29.0,4.0,0.0,1.5,1.0,,
A,46,APPN,US,2021-02-18,939,0.10861990005226577,16.0,7.0,0.0,4.5,4.0,,
A,47,HSY,US,2019-10-01,690,0.017722649090945498,19.0,7.0,0.0,3.0,2.0,,
A,48,ATKR,US,2021-04-15,1077,0.043857934721587236,25.0,7.0,0.0,3.0,2.0,,
A,49,LEA,US,2019-12-31,753,0.025689093577520073,7.0,5.0,0.0,2.5,2.0,,
A,50,ATI,US,2022-04-05,1323,0.04147817531743364,10.0,5.0,0.0,4.5,4.0,,
A,51,MARA,US,2020-08-18,912,0.24597184415326465,9.0,6.0,0.0,4.5,4.0,,
A,52,BAND,US,2020-05-22,636,0.06134983249338914,6.0,4.0,0.0,3.0,2.0,,
A,53,BTI,US,2019-04-02,564,0.015234988609546151,11.0,4.0,0.0,3.5,3.0,,
A,54,EFOR,US,2020-06-23,873,0.042495986127689886,12.0,6.0,0.0,4.0,3.0,,
A,55,FSLR,US,2022-08-23,1419,0.04921674259614348,7.0,3.0,0.0,2.5,2.0,,
