deck,card,symbol,market,date,end,adr,base_len,cluster_k,collapsed,tag,provisional,band
E,0,RVTY,US,2021-09-22,1188,0.022853018004757253,11.0,5.0,0.0,confirm,4.5,4.0
E,1,SNAP,US,2020-12-01,945,0.054103096419792066,6.0,5.0,0.0,confirm,4.5,4.0
E,2,MKSI,US,2021-04-12,1074,0.04461181339051815,6.0,5.0,0.0,confirm,4.5,4.0
E,3,MARA,US,2020-08-18,912,0.2459718441532646,9.0,6.0,0.0,repeat,4.5,4.0
E,4,UPST,US,2021-06-28,132,0.10254372811081074,17.0,7.0,0.0,confirm,2.0,1.0
E,5,YEXT,US,2018-11-02,393,0.05064745482663929,41.0,3.0,0.0,confirm,1.0,0.0
E,6,KBH,US,2017-07-21,138,0.02492452541448602,8.0,4.0,0.0,confirm,2.5,2.0
E,7,HUDI,US,2021-11-16,207,0.36336387138994813,10.0,4.0,0.0,confirm,2.0,1.0
E,8,TMUS,US,2022-07-07,1386,0.027351670277152063,22.0,3.0,0.0,confirm,1.0,0.0
E,9,DV,US,2022-10-03,366,0.041345369473470214,17.0,4.0,0.0,confirm,1.5,1.0
E,10,HRI,US,2021-11-24,1233,0.031134024093416323,13.0,3.0,0.0,confirm,3.5,3.0
E,11,HRI,US,2021-11-16,1227,0.03871843173135142,7.0,6.0,0.0,confirm,4.5,4.0
E,12,ATRA,US,2018-05-31,354,0.054688286674159925,8.0,3.0,0.0,confirm,4.0,3.0
E,13,GNTX,US,2018-02-21,285,0.03208278935238461,18.0,4.0,0.0,confirm,1.0,0.0
E,14,CODX,US,2020-03-18,675,0.44688736649096567,14.0,4.0,0.0,confirm,2.5,2.0
E,15,COIN,US,2022-08-17,339,0.12689749987519666,10.0,4.0,0.0,confirm,3.0,2.0
E,16,GKOS,US,2018-11-28,480,0.06382163743473872,43.0,3.0,0.0,confirm,2.0,1.0
E,17,ABBV,US,2022-04-22,1335,0.026445743864384565,10.0,3.0,0.0,confirm,1.0,0.0
E,18,ATI,US,2017-10-27,207,0.0327894125679971,17.0,3.0,0.0,confirm,2.0,1.0
E,19,PLUG,US,2020-10-16,954,0.07339036343924704,7.0,4.0,0.0,confirm,3.5,3.0
E,20,EXPE,US,2022-02-03,1281,0.04260374780343418,22.0,3.0,0.0,confirm,1.5,1.0
E,21,UCTT,US,2017-10-11,195,0.05171253650107212,8.0,3.0,0.0,confirm,4.0,3.0
E,22,REGN,US,2017-07-05,126,0.03345745123921077,9.0,3.0,0.0,confirm,3.0,2.0
E,23,SLAB,US,2023-03-03,1551,0.033366453396361115,13.0,5.0,0.0,confirm,3.0,2.0
E,24,HRMY,US,2023-05-12,687,0.04271828636502438,7.0,6.0,0.0,confirm,4.5,4.0
E,25,WKHS,US,2020-09-30,942,0.1307938033086097,8.0,3.0,0.0,repeat,3.5,3.0
E,26,AZTA,US,2022-12-27,1506,0.03533831149063783,10.0,4.0,0.0,confirm,3.5,3.0
E,27,AMD,US,2017-07-05,126,0.05951636100487848,8.0,4.0,0.0,confirm,2.0,1.0
E,28,NET,US,2021-07-01,453,0.03703977286130043,6.0,5.0,0.0,confirm,4.5,4.0
E,29,AMKR,US,2023-03-21,1563,0.029979679814608806,33.0,3.0,0.0,confirm,1.0,0.0
E,30,GSM,US,2021-09-22,1188,0.09898964983060143,14.0,3.0,0.0,confirm,2.0,1.0
E,31,ETR,US,2019-10-09,696,0.011209301060623632,4.0,3.0,0.0,confirm,3.0,2.0
E,32,WMG,US,2023-01-30,669,0.036451428342061686,14.0,5.0,0.0,confirm,2.5,2.0
E,33,ATKR,US,2021-08-26,1170,0.04224611183293352,11.0,3.0,0.0,confirm,1.5,1.0
E,34,VYX,US,2019-05-23,600,0.03738004049345495,13.0,3.0,0.0,confirm,2.0,1.0
E,35,BCC,US,2022-03-10,1305,0.05953371630506078,21.0,4.0,0.0,confirm,1.5,1.0
E,36,ATRA,US,2018-06-21,369,0.052491241181986247,23.0,6.0,0.0,confirm,2.5,2.0
E,37,FANG,US,2022-02-03,1281,0.04983445799814695,6.0,5.0,0.0,confirm,4.5,4.0
E,38,CVI,US,2022-07-12,1389,0.0744478961273705,24.0,4.0,0.0,repeat,2.0,1.0
E,39,AAPL,US,2018-10-16,450,0.02176172568302991,10.0,3.0,0.0,confirm,2.0,1.0
E,40,ORCL,US,2021-08-10,1158,0.019232577327956635,13.0,5.0,0.0,confirm,4.5,4.0
E,41,LPSN,US,2019-11-29,732,0.040212055863640114,19.0,3.0,0.0,confirm,1.0,0.0
E,42,STAA,US,2021-07-23,1146,0.04531185216490935,21.0,4.0,0.0,confirm,1.0,0.0
E,43,SCCO,US,2022-02-22,1293,0.031145173172868402,24.0,4.0,0.0,confirm,1.5,1.0
E,44,IT,US,2022-11-25,1485,0.02494956420920138,10.0,5.0,0.0,confirm,4.5,4.0
E,45,UPWK,US,2022-07-25,957,0.06194752832692556,12.0,4.0,0.0,confirm,2.5,2.0
E,46,KLAC,US,2019-08-14,657,0.031451379150653144,10.0,4.0,0.0,confirm,2.0,1.0
E,47,DAN,US,2019-09-23,684,0.04336718614851086,7.0,5.0,0.0,confirm,4.5,4.0
E,48,WMB,US,2022-07-20,1395,0.029036562032489742,32.0,3.0,0.0,confirm,1.0,0.0
E,49,YEXT,US,2019-03-29,492,0.046831978316866474,10.0,5.0,0.0,confirm,4.0,3.0
E,50,UCTT,US,2021-03-24,1062,0.0757043602854406,7.0,5.0,0.0,repeat,3.0,2.0
E,51,TXMD,US,2018-06-21,369,0.06228603458441356,10.0,5.0,0.0,confirm,4.5,4.0
E,52,EXPE,US,2023-02-09,1536,0.03594632089593255,6.0,5.0,0.0,confirm,4.5,4.0
E,53,CHPT,US,2021-01-20,255,0.09659111859361523,17.0,3.0,0.0,confirm,2.5,2.0
E,54,ENPH,US,2022-05-02,1341,0.0703183829157093,19.0,3.0,0.0,confirm,1.0,0.0
E,55,ENPH,US,2022-05-23,1356,0.08795966845320205,34.0,4.0,0.0,confirm,1.0,0.0
E,56,BLDR,US,2019-12-26,750,0.020509059160488174,10.0,4.0,0.0,confirm,2.5,2.0
E,57,PRCT,US,2022-06-29,198,0.10117825940191624,17.0,3.0,0.0,confirm,1.5,1.0
E,58,RARE,US,2020-06-10,864,0.060186867368840526,17.0,3.0,0.0,confirm,3.0,2.0
E,59,CHPT,US,2020-12-17,234,0.1459730925399175,7.0,5.0,0.0,confirm,4.0,3.0
E,60,CFR,US,2022-09-30,1446,0.025362128684470207,12.0,3.0,0.0,confirm,1.5,1.0
E,61,HAL,US,2023-02-14,1539,0.03736088685947871,20.0,3.0,0.0,confirm,0.5,0.0
E,62,GDDY,US,2018-03-01,291,0.0311332554031279,4.0,3.0,0.0,repeat,2.0,1.0
E,63,CHTR,US,2018-10-19,453,0.025602990614628385,21.0,4.0,0.0,confirm,0.5,0.0
E,64,NVT,US,2021-08-16,834,0.024305679526856295,9.0,5.0,0.0,confirm,4.5,4.0
E,65,ATKR,US,2023-01-05,1512,0.028563046876286625,16.0,3.0,0.0,confirm,1.5,1.0
E,66,TPR,US,2018-04-13,321,0.019692847678355285,7.0,5.0,0.0,confirm,4.5,4.0
E,67,ETR,US,2022-05-18,1353,0.025058453748261343,20.0,4.0,0.0,confirm,1.0,0.0
E,68,EHC,US,2018-05-25,351,0.018124654441656084,9.0,7.0,0.0,confirm,4.5,4.0
E,69,EL,US,2022-12-27,1506,0.03083163316486558,10.0,4.0,0.0,confirm,3.5,3.0
E,70,TJX,US,2018-11-01,462,0.021236626029050732,24.0,3.0,0.0,confirm,1.0,0.0
E,71,CNQ,US,2022-02-11,1287,0.03477217849255456,6.0,3.0,0.0,confirm,3.5,3.0
E,72,MTDR,US,2022-08-10,1410,0.054280864267030604,9.0,3.0,0.0,confirm,3.5,3.0
E,73,DKNG,US,2020-03-26,123,0.12182112190354474,17.0,3.0,0.0,confirm,1.0,0.0
E,74,AMZN,US,2018-05-09,339,0.024318437521411794,9.0,4.0,0.0,confirm,3.0,2.0
E,75,ACLS,US,2022-03-31,1320,0.06766689950594229,6.0,5.0,0.0,confirm,4.0,3.0
E,76,LIVN,US,2017-07-05,126,0.02336881306298254,5.0,4.0,0.0,confirm,3.0,2.0
E,77,BRBR,US,2023-03-01,846,0.02886434834784175,16.0,7.0,0.0,confirm,3.0,2.0
E,78,TSLA,US,2020-04-09,822,0.1041839552249453,37.0,4.0,0.0,repeat,2.0,1.0
E,79,LPSN,US,2019-09-23,684,0.03453994772623255,19.0,4.0,0.0,confirm,0.5,0.0
E,80,GKOS,US,2022-02-03,1281,0.06587227975980717,11.0,4.0,0.0,confirm,3.0,2.0
E,81,COR,US,2022-12-08,1494,0.02181475891119964,5.0,4.0,0.0,confirm,3.0,2.0
E,82,BAND,US,2019-06-14,399,0.0430948452740507,18.0,3.0,0.0,repeat,2.0,1.0
E,83,IRM,US,2021-08-18,1164,0.01860328979193554,6.0,3.0,0.0,confirm,3.0,2.0
E,84,SSYS,US,2021-10-29,1215,0.06227237926176343,5.0,3.0,0.0,confirm,3.5,3.0
E,85,SSYS,US,2017-05-22,96,0.04851337932993684,5.0,3.0,0.0,confirm,3.0,2.0
E,86,LOVE,US,2021-05-25,732,0.0592333940594815,19.0,7.0,0.0,repeat,4.5,4.0
E,87,FND,US,2023-03-30,1491,0.033895975395775116,40.0,3.0,0.0,confirm,1.5,1.0
E,88,TTEK,US,2019-09-23,684,0.021820864991176303,42.0,3.0,0.0,confirm,1.0,0.0
E,89,CRM,US,2019-02-19,534,0.022694940368069703,4.0,3.0,0.0,confirm,3.5,3.0
E,90,LKQ,US,2022-07-12,1389,0.026505794981966313,24.0,4.0,0.0,confirm,1.0,0.0
E,91,RARE,US,2020-01-28,771,0.05526529934957215,9.0,4.0,0.0,confirm,2.0,1.0
E,92,CRWD,US,2022-06-15,759,0.06949768647984374,7.0,3.0,0.0,confirm,4.0,3.0
E,93,EFOR,US,2020-06-26,876,0.041839203767691194,15.0,3.0,0.0,confirm,2.0,1.0
E,94,RXT,US,2021-04-20,177,0.04475201247610426,8.0,4.0,0.0,confirm,3.5,3.0
E,95,KLAC,US,2019-04-15,573,0.019381212008227566,7.0,5.0,0.0,confirm,4.5,4.0
E,96,NOG,US,2022-02-16,1290,0.06986666037638259,9.0,4.0,0.0,confirm,3.0,2.0
E,97,PEN,US,2018-04-23,327,0.027246424352194532,26.0,6.0,0.0,confirm,2.0,1.0
E,98,PACB,US,2023-01-05,1512,0.08308115008870834,35.0,7.0,0.0,confirm,3.0,2.0
E,99,EFOR,US,2018-04-18,324,0.027548415354844015,20.0,5.0,0.0,confirm,3.0,2.0
E,100,IRM,US,2021-07-15,1140,0.019461588755054725,26.0,3.0,0.0,confirm,1.0,0.0
E,101,FND,US,2023-03-22,1485,0.03791701359298784,34.0,3.0,0.0,confirm,1.0,0.0
E,102,GNTX,US,2019-08-22,663,0.01956236210335669,19.0,4.0,0.0,confirm,1.0,0.0
E,103,COR,US,2018-02-26,288,0.037957831972653754,20.0,6.0,0.0,confirm,2.0,1.0
E,104,HQY,US,2018-08-13,405,0.03280335221650928,16.0,5.0,0.0,confirm,3.0,2.0
E,105,GOGO,US,2020-09-25,939,0.14096404389799316,8.0,5.0,0.0,confirm,4.5,4.0
E,106,DV,US,2022-10-06,369,0.038053895985952615,20.0,3.0,0.0,confirm,1.0,0.0
E,107,PUBM,US,2021-11-26,243,0.08848320300764083,12.0,6.0,0.0,confirm,4.5,4.0
E,108,REGN,US,2018-08-21,411,0.026262716059096247,14.0,3.0,0.0,confirm,2.5,2.0
E,109,AFRM,US,2021-08-23,153,0.0644905626236634,13.0,6.0,0.0,confirm,5.0,4.0
E,110,CCJ,US,2021-09-27,1191,0.05714121365925625,11.0,3.0,0.0,confirm,2.5,2.0
E,111,TTEK,US,2021-12-08,1242,0.029370885526566436,12.0,3.0,0.0,confirm,2.5,2.0
E,112,MRNA,US,2020-08-05,417,0.08940966201221165,14.0,6.0,0.0,confirm,3.5,3.0
E,113,BCC,US,2021-05-24,1104,0.043981259933499585,11.0,3.0,0.0,confirm,1.5,1.0
E,114,UPWK,US,2021-01-22,579,0.06994277296565353,7.0,3.0,0.0,confirm,3.5,3.0
E,115,DJT,US,2022-02-16,96,0.10765163858954008,8.0,7.0,0.0,confirm,4.5,4.0
E,116,VISN,US,2019-03-12,549,0.027305517934601887,9.0,3.0,0.0,confirm,1.5,1.0
E,117,AFRM,US,2023-06-26,615,0.08229288444105334,11.0,4.0,0.0,confirm,2.5,2.0
E,118,VISN,US,2019-11-25,729,0.04875316106802559,12.0,5.0,0.0,confirm,3.5,3.0
E,119,GRWG,US,2020-09-09,651,0.14317542074708497,15.0,4.0,0.0,confirm,2.0,1.0
E,120,ZS,US,2020-02-07,477,0.038352293594245766,13.0,4.0,0.0,confirm,2.5,2.0
E,121,BAH,US,2022-07-15,1392,0.025754599859905226,10.0,3.0,0.0,confirm,3.0,2.0
E,122,RIOT,US,2021-04-12,1074,0.1234256995704559,38.0,5.0,0.0,confirm,3.0,2.0
E,123,SCCO,US,2022-03-31,1320,0.03113286756267093,8.0,7.0,0.0,confirm,4.5,4.0
E,124,ONON,US,2023-05-31,429,0.04515543744302421,18.0,3.0,0.0,confirm,0.5,0.0
E,125,ARES,US,2021-10-13,1203,0.02341971502671607,25.0,5.0,0.0,confirm,2.0,1.0
E,126,DXC,US,2017-08-29,165,0.01778416164955039,10.0,5.0,0.0,confirm,4.5,4.0
E,127,META,US,2022-05-23,1356,0.05246330989868384,14.0,4.0,0.0,confirm,2.0,1.0
E,128,ZTS,US,2019-08-30,669,0.021179019322098556,9.0,5.0,0.0,confirm,4.5,4.0
E,129,HSY,US,2019-06-19,618,0.013409865346103523,9.0,6.0,0.0,confirm,4.0,3.0
E,130,DKS,US,2020-04-23,831,0.09117937117698541,10.0,7.0,0.0,confirm,4.5,4.0
E,131,GMED,US,2019-11-15,723,0.0233646831125124,7.0,6.0,0.0,repeat,3.0,2.0
E,132,DXC,US,2019-12-26,750,0.029169280895818005,8.0,6.0,0.0,confirm,4.5,4.0
E,133,PRMB,US,2017-12-11,237,0.020133586341405874,6.0,5.0,0.0,confirm,4.0,3.0
