deck,card,symbol,market,date,end,adr,tag,base_len,cluster_k,touch_zones,overshoot_adr
F,0,MKTX,US,2023-02-23,1545,0.027322616489530716,line_not_drawable,15.0,3.0,2.0,1.9753929236183905
F,1,DAN,US,2019-07-16,636,0.03385778600519453,line_not_drawable,11.0,6.0,1.0,1.0160279048608545
F,2,OXY,US,2022-10-31,1467,0.04033888261397221,detection,45.0,6.0,1.0,0.9577355748509525
F,3,ZVRA,US,2021-02-19,1038,0.1144127456777431,not_caught_up,4.0,3.0,1.0,0.0
F,4,CRWD,US,2021-08-06,543,0.0367758333071814,repeat,,,,
F,5,NVDA,US,2023-03-29,1569,0.0368352714888715,not_caught_up,6.0,4.0,1.0,0.4154840139297722
F,6,PACB,US,2021-04-12,1074,0.09472429697192948,line_not_drawable,41.0,3.0,1.0,2.708069008992591
F,7,TSLA,US,2019-06-24,621,0.0427928363131697,line_not_drawable,5.0,4.0,0.0,0.6604635452099772
F,8,BLDR,US,2022-02-16,1290,0.04616754828554485,detection,32.0,5.0,4.0,0.5053414681627869
F,9,SPB,US,2023-05-24,1608,0.028815567777531248,detection,13.0,7.0,2.0,0.872769769669542
F,10,MTN,US,2018-08-13,405,0.018033220607674972,line_not_drawable,3.0,3.0,0.0,0.0
F,11,MARA,US,2021-05-03,1089,0.122004935788077,detection,20.0,6.0,2.0,0.0
F,12,EDIT,US,2017-09-01,168,0.07409981922429314,detection,15.0,5.0,1.0,0.37662433831733605
F,13,BRBR,US,2022-05-19,651,0.0564826597549534,repeat,,,,
F,14,GRMN,US,2019-03-07,546,0.018806001810823182,not_caught_up,5.0,3.0,1.0,0.0
F,15,ABBV,US,2022-01-31,1278,0.01927656658444482,line_not_drawable,3.0,3.0,0.0,0.0
F,16,ROG,US,2023-04-25,1587,0.023098465156509883,detection,16.0,5.0,2.0,0.4759392104534956
F,17,ABBV,US,2022-03-07,1302,0.019097235677969105,line_not_drawable,4.0,4.0,0.0,0.0
F,18,REGN,US,2020-04-06,819,0.07574031635578196,detection,13.0,6.0,1.0,0.0
F,19,KR,US,2019-10-25,708,0.018479203182918746,not_caught_up,32.0,3.0,2.0,0.9503472770186985
F,20,ROKU,US,2023-02-28,1362,0.07170674576898747,detection,8.0,3.0,2.0,0.0
F,21,ACAD,US,2019-09-23,684,0.06499440555607691,not_caught_up,6.0,4.0,1.0,0.0
F,22,NET,US,2020-04-06,141,0.11926681274137865,line_not_drawable,5.0,5.0,0.0,0.0
F,23,CMG,US,2018-05-14,342,0.02922290144869579,not_caught_up,12.0,7.0,1.0,0.0
F,24,CASY,US,2018-11-06,465,0.025032633704936802,not_caught_up,28.0,3.0,2.0,0.0
F,25,TULP,US,2022-01-26,1272,0.20611940084583913,line_not_drawable,33.0,3.0,3.0,2.4836063730511726
F,26,KNDI,US,2020-12-11,993,0.17040526818073076,detection,13.0,4.0,2.0,0.8695181512212271
F,27,MAA,US,2019-05-23,600,0.015218457139109798,not_caught_up,4.0,3.0,1.0,0.0
F,28,PCVX,US,2023-01-23,657,0.0427796510210204,detection,14.0,6.0,1.0,0.0
F,29,AMGN,US,2019-08-19,660,0.02817433302135458,not_caught_up,5.0,4.0,1.0,0.0
F,30,FSLR,US,2018-02-21,285,0.03703056403648279,not_caught_up,28.0,3.0,1.0,0.8345080199338841
F,31,AEIS,US,2017-05-25,99,0.028411059913110225,detection,8.0,5.0,1.0,0.4199927303983949
F,32,NFLX,US,2017-07-26,141,0.025360062659817773,not_caught_up,4.0,3.0,1.0,0.0
F,33,FLS,US,2018-10-03,441,0.016669916114186223,line_not_drawable,11.0,7.0,1.0,0.5015083721180329
F,34,EBS,US,2019-09-23,684,0.05297122699807253,line_not_drawable,13.0,6.0,1.0,0.5866990982550447
F,35,KOD,US,2019-12-23,306,0.1629044364690403,detection,14.0,7.0,2.0,0.0
F,36,APPN,US,2019-10-09,597,0.04448284932185187,detection,33.0,3.0,2.0,0.4248411948987001
F,37,AMD,US,2020-04-20,828,0.058061345974209685,not_caught_up,43.0,3.0,1.0,0.0
F,38,KLAC,US,2019-02-13,531,0.02603547141092565,not_caught_up,6.0,3.0,1.0,0.0
F,39,ROKU,US,2019-08-19,474,0.05538573632293298,not_caught_up,5.0,4.0,1.0,0.0
F,40,BLDR,US,2023-04-03,1572,0.03040305094852448,not_caught_up,21.0,3.0,1.0,0.0
F,41,COLD,US,2022-11-23,1221,0.028372526833380797,not_caught_up,10.0,4.0,1.0,0.46599602705904924
F,42,MARA,US,2017-12-14,240,0.2924813139699346,line_not_drawable,14.0,3.0,0.0,1.8889621015338054
F,43,SNX,US,2020-02-19,786,0.02000944960911103,line_not_drawable,23.0,6.0,1.0,1.5694302687312942
F,44,CHPT,US,2020-10-01,180,0.06826627252483483,not_caught_up,4.0,3.0,1.0,0.0
F,45,ETSY,US,2018-08-16,408,0.051064831896050024,detection,8.0,4.0,1.0,0.0
F,46,AMKR,US,2022-12-05,1491,0.041702220222772424,detection,11.0,3.0,2.0,0.5302612006755055
F,47,SPHR,US,2021-09-17,363,0.03780065352067595,line_not_drawable,4.0,4.0,0.0,0.0
F,48,MELI,US,2019-03-20,555,0.04006168529291364,not_caught_up,6.0,5.0,1.0,0.0
F,49,PEN,US,2018-04-18,324,0.02832175610736636,detection,23.0,3.0,2.0,0.0
F,50,MKTX,US,2018-11-09,468,0.030791731240544084,line_not_drawable,8.0,5.0,1.0,0.9444889981198175
F,51,DKS,US,2020-09-09,927,0.04442165626029283,not_caught_up,5.0,4.0,1.0,0.0
F,52,REGN,US,2018-08-24,414,0.025546231901507344,detection,17.0,6.0,1.0,0.0
F,53,REGN,US,2017-07-26,141,0.02489171303909502,line_not_drawable,24.0,5.0,1.0,1.3580139770671997
F,54,PFE,US,2019-01-04,504,0.027013434841250118,detection,21.0,3.0,3.0,0.973945377062796
F,55,BLNK,US,2021-02-03,1023,0.1496235634227581,detection,6.0,3.0,1.0,0.0
F,56,SCCO,US,2023-01-24,1524,0.028056220592898317,not_caught_up,5.0,3.0,1.0,0.0
F,57,EXC,US,2022-06-06,1365,0.02288993007219441,detection,32.0,5.0,2.0,0.6029533456898222
F,58,APPS,US,2022-11-25,1485,0.08551862668967711,detection,8.0,4.0,1.0,0.0
F,59,TSLA,US,2023-02-23,1545,0.06458722261003681,detection,5.0,4.0,1.0,0.0
F,60,GOGO,US,2021-06-02,1110,0.06488935578023648,line_not_drawable,3.0,4.0,0.0,0.0
F,61,ROKU,US,2018-04-26,144,0.061041606674162155,line_not_drawable,45.0,6.0,2.0,1.2680610682902909
F,62,UPST,US,2021-06-02,114,0.15862124722534107,line_not_drawable,4.0,4.0,0.0,0.0
F,63,UCTT,US,2017-08-24,162,0.05258145318083449,detection,20.0,7.0,2.0,0.7165878496973863
F,64,AMD,US,2023-02-09,1536,0.0447277530850465,repeat,,,,
F,65,TNDM,US,2019-05-23,600,0.06277796783275033,line_not_drawable,45.0,4.0,3.0,1.5547926586258927
F,66,MTDR,US,2022-10-13,1455,0.052707982710949786,not_caught_up,5.0,4.0,1.0,0.0
F,67,CG,US,2021-07-28,1149,0.02032231634225943,not_caught_up,16.0,4.0,2.0,0.0
F,68,ICUI,US,2018-03-27,309,0.0319862783123813,detection,11.0,6.0,1.0,0.4075672610373423
F,69,ETSY,US,2018-05-14,342,0.037779646704310124,line_not_drawable,6.0,3.0,1.0,0.7540104833714024
F,70,GKOS,US,2018-11-23,477,0.06796832213461221,detection,40.0,3.0,4.0,0.5934090559212488
F,71,ICLR,US,2021-12-21,1251,0.034782808208124995,detection,36.0,4.0,3.0,0.0
F,72,SWBI,US,2020-09-25,939,0.08362195756138319,line_not_drawable,17.0,4.0,1.0,1.0754573097439812
F,73,LKQ,US,2019-09-18,681,0.02773412595040985,not_caught_up,4.0,3.0,1.0,0.0
F,74,PEN,US,2022-12-27,1506,0.034626632690702056,line_not_drawable,9.0,7.0,0.0,0.43101322824699934
F,75,KR,US,2022-04-22,1335,0.0246796557057611,repeat,,,,
F,76,SEDG,US,2018-01-30,270,0.038334088588585315,line_not_drawable,45.0,4.0,6.0,1.1459266342077992
F,77,GKOS,US,2022-09-14,1434,0.04375011390741927,not_caught_up,6.0,4.0,1.0,0.0
F,78,MARA,US,2021-06-02,1110,0.1131198261787751,line_not_drawable,41.0,5.0,2.0,1.4350236829194982
F,79,LYV,US,2017-08-24,162,0.024952494840638606,line_not_drawable,11.0,4.0,1.0,1.9035476828679123
F,80,RYM,US,2021-09-15,159,0.1409335562126317,line_not_drawable,17.0,6.0,2.0,1.3905942434908174
F,81,TTEK,US,2019-07-24,642,0.01937773407123463,not_caught_up,4.0,3.0,1.0,0.0
