cid,deck,pick,symbol,date,market,tag,repeat_of
A001,A,52,CMG,2019-02-20,US,core · 3★,
A002,A,55,AGO,2022-12-28,US,core · 3★,
A003,A,64,OXY,2020-12-17,US,core · 4★,
A004,A,16,ACLS,2023-04-13,US,core · 2★,
A005,A,44,NFLX,2022-11-01,US,core · 3★,
A006,A,69,CRIS,2020-12-31,US,core · 4★,
A007,A,112,SEDG,2020-08-19,US,core · 5★,
A008,A,102,AMD,2019-04-16,US,core · 5★,
A009,A,67,LCID,2021-03-09,US,core · 4★,
A010,A,17,PHM,2023-04-13,US,core · 2★,
A011,A,65,APPS,2021-04-29,US,core · 4★,
A012,A,54,NVDA,2021-12-22,US,core · 3★,
A013,A,0,ALGT,2020-05-29,US,core · 2★,
A014,A,42,BRBR,2023-03-30,US,core · 3★,
A015,A,98,LFMD,2021-02-16,US,core · 5★,
A016,A,24,HSY,2019-05-24,US,core · 2★,
A017,A,12,MKTX,2019-08-02,US,core · 2★,
A018,A,79,GOOGL,2023-03-30,US,core · 4★,
A019,A,7,NET,2023-04-17,US,core · 2★,
A020,A,3,STAA,2021-04-13,US,core · 2★,
A021,A,19,COIN,2022-09-16,US,core · 2★,
A022,A,114,NNOX,2021-06-23,US,core · 5★,
A023,A,78,CELH,2021-02-02,US,core · 4★,
A024,A,88,DVN,2022-07-21,US,core · 4★,
A025,A,61,SBRA,2020-04-16,US,core · 4★,
A026,A,113,AFRM,2021-10-21,US,core · 5★,
A027,A,4,CI,2022-09-20,US,core · 2★,
A028,A,87,FEED,2021-08-24,US,core · 4★,
A029,A,8,DBX,2021-03-22,US,core · 2★,
A030,A,37,NET,2021-06-28,US,core · 3★,
A031,A,13,DKNG,2023-05-10,US,core · 2★,
A032,A,107,SLB,2021-05-28,US,core · 5★,
A033,A,26,RJF,2022-11-04,US,core · 2★,
A034,A,18,TNDM,2019-07-03,US,core · 2★,
A035,A,81,COLD,2022-06-29,US,core · 4★,
A036,A,84,ORI,2021-03-30,US,core · 4★,
A037,A,48,MARA,2020-08-27,US,core · 3★,
A038,A,14,SNX,2019-12-23,US,core · 2★,
A039,A,106,APPS,2023-04-10,US,core · 5★,
A040,A,38,ATKR,2021-12-06,US,core · 3★,
