card,symbol,market,date,end,L,stratum,dtrig,cut,A,B
0,BLIN,US,2023-06-27,1629,3,near,0.09105125805944296,False,env,ols
1,ITMG,IDX,2017-12-14,228,4,cut,0.36716609223358915,True,ols,env
2,RDCM,US,2021-02-24,1042,4,near,0.06041444665540381,False,ols,env
3,TRP,US,2022-11-17,1480,5,cut,0.09429144151610327,True,ols,env
4,GDC,US,2020-01-16,228,3,cut,0.40482000423049275,True,env,ols
5,PALI,US,2019-06-19,534,3,cut,0.26516326965468884,True,ols,env
6,CI,US,2022-08-08,1408,3,cut,0.0952300482787752,True,env,ols
7,INCO,IDX,2022-06-09,1302,4,near,0.0032489482207066506,False,ols,env
8,VHC,US,2020-07-24,895,8,far,0.2576110523343369,False,ols,env
9,AWX,US,2021-03-29,1039,3,near,-0.06326960354065801,False,ols,env
10,PANI,IDX,2022-05-30,864,4,far,0.2746053686422062,False,env,ols
11,AIHS,US,2022-05-16,1048,3,near,-0.0033150266306384082,False,ols,env
12,HEAL,IDX,2023-02-13,1155,3,near,-0.014840591315308528,False,ols,env
13,BRMS,IDX,2019-03-01,510,3,near,0.07390912145100487,False,ols,env
14,CLBT,US,2023-04-10,606,3,cut,0.41943376492248774,True,ols,env
15,GTBP,US,2020-08-27,610,3,far,0.2551516827969605,False,env,ols
16,HUDI,US,2022-05-23,336,3,far,0.2418031649671601,False,env,ols
17,ZM,US,2020-06-18,294,3,near,-0.01781644446506919,False,env,ols
18,HAL,US,2019-10-10,697,7,near,0.09244254945183202,False,env,ols
19,SLAB,US,2019-02-11,529,3,near,0.09943111378034585,False,env,ols
20,NNVC,US,2021-07-29,1150,3,cut,1.5749732074260885,True,ols,env
21,BBRI,IDX,2019-02-07,495,3,near,5.5978548205274454e-05,False,env,ols
22,AEYE,US,2022-07-29,1400,3,near,0.07703444587675866,False,env,ols
23,BRBS,US,2020-09-10,470,6,cut,0.4587407198502475,True,ols,env
24,MLR,US,2021-06-29,1129,4,far,0.28004239205693926,False,env,ols
25,NNVC,US,2023-03-17,1561,5,near,0.023667428128495784,False,env,ols
26,PSAB,IDX,2022-09-07,1365,3,far,0.266929967438164,False,ols,env
27,AEIS,US,2021-04-16,1078,4,far,0.26688781513949894,False,ols,env
28,DGICA,US,2020-04-13,823,7,cut,0.205775255450709,True,ols,env
29,CHRN,US,2019-04-30,583,3,far,0.3298776943627663,False,env,ols
30,MKTX,US,2023-05-09,1597,5,far,0.4443093810019026,False,ols,env
31,PNBK,US,2022-03-14,969,3,near,0.0,False,ols,env
32,ANVS,US,2022-04-20,561,3,near,0.09948993238801959,False,env,ols
33,ENRG,IDX,2020-02-27,735,3,near,0.0,False,env,ols
34,PROV,US,2019-08-23,664,3,near,0.03628831486907105,False,ols,env
35,JHI,US,2023-04-26,1588,3,near,-0.06682813978759067,False,ols,env
36,SSD,US,2021-11-17,1228,3,cut,0.06353943634008509,True,env,ols
37,FUNC,US,2020-12-31,1001,3,far,0.2868490653297083,False,ols,env
38,CELZ,US,2023-06-22,1379,4,near,-0.013845710603846565,False,env,ols
39,ERAA,IDX,2019-11-15,684,10,cut,0.23770015452943463,True,ols,env
40,WVVI,US,2021-05-25,1104,4,far,0.29321140022546394,False,ols,env
41,GGRM,IDX,2019-01-21,483,4,far,0.288316324353608,False,env,ols
42,LARK,US,2021-08-04,1112,6,cut,0.6610755621206791,True,ols,env
43,PSTL,US,2022-06-09,774,3,far,0.3350282714672144,False,ols,env
44,SIDO,IDX,2024-03-08,1734,5,cut,0.17458710550155343,True,env,ols
45,MTN,US,2021-07-26,1147,3,near,0.03890248160600367,False,ols,env
46,SCKT,US,2020-06-19,866,3,cut,0.7090496994925509,True,ols,env
47,SRTG,IDX,2020-08-27,828,3,cut,0.2390686156135978,True,ols,env
48,LXRX,US,2019-08-23,664,7,far,0.22009495818402386,False,env,ols
49,HMSP,IDX,2024-10-04,1875,3,far,0.6706727000485768,False,ols,env
