card,section,arm,symbol,date,end,prior_move,adr,A,B,t08_L,split_L
0,population,shared,MKTX,2018-11-14,471,0.9573170731707317,0.029015468623887163,,,,
1,population,shared,PFE,2022-02-03,1281,0.9568965517241379,0.02656754489511822,,,,
2,population,shared,NVDA,2017-08-29,165,0.9850746268656716,0.02887068425914032,,,,
3,population,split only,SPT,2022-11-22,741,0.9592760180995475,0.09265725474024313,,,,
4,population,08 only,LCID,2021-12-31,324,0.982532751091703,0.0904392724568032,,,,
5,population,shared,PACB,2020-10-26,960,1.0,0.06803095153003791,,,,
6,population,split only,ACAD,2022-09-01,1425,0.941747572815534,0.05129348646565307,,,,
7,population,split only,AMKR,2021-02-26,1044,0.975,0.06593186617746119,,,,
8,population,split only,WMS,2021-12-27,1254,0.9110169491525424,0.03543915108023486,,,,
9,population,08 only,BRBR,2023-03-30,867,0.9513274336283186,0.025363943077664285,,,,
10,population,split only,STAA,2023-01-24,1524,0.9761904761904762,0.05886811220801005,,,,
11,population,shared,FND,2018-04-19,246,0.9554140127388535,0.04077914351992534,,,,
12,population,08 only,LXRX,2021-02-12,1035,0.9871244635193133,0.09311341194060518,,,,
13,population,split only,TSLA,2020-04-09,822,0.9895287958115183,0.10418395522494536,,,,
14,population,08 only,CELH,2023-05-16,1602,0.9954128440366973,0.04604484521927663,,,,
15,population,split only,CHPT,2021-01-14,252,0.9627906976744186,0.09545838577563154,,,,
16,population,08 only,EDIT,2018-06-13,363,0.934640522875817,0.06547653348251933,,,,
17,population,shared,PLNT,2018-04-13,321,0.9419354838709677,0.02391030287216871,,,,
18,population,split only,PEN,2023-05-19,1605,0.9541284403669725,0.026660814787593412,,,,
19,population,split only,SNAP,2020-12-22,960,0.9009433962264151,0.04709537869118381,,,,
20,population,split only,VVV,2019-08-27,666,0.9122807017543859,0.021178619054727066,,,,
21,population,shared,TXMD,2018-06-18,366,0.9490445859872612,0.0694090066952426,,,,
22,population,shared,BLNK,2020-07-27,891,0.9887640449438202,0.1822594517734935,,,,
23,population,shared,RNG,2019-11-15,723,0.9430379746835443,0.03997304940651693,,,,
24,population,shared,KBH,2017-07-21,138,0.9699248120300752,0.02492452541448602,,,,
25,population,08 only,HRMY,2022-12-09,582,0.9712918660287081,0.03784697909611105,,,,
26,population,08 only,BAH,2018-08-16,408,0.9,0.017740954694346035,,,,
27,population,08 only,CMG,2023-05-03,1593,0.9909502262443439,0.01931865775781244,,,,
28,population,shared,PTON,2020-05-22,165,0.9664804469273743,0.07074054694736555,,,,
29,population,08 only,ATKR,2022-10-10,1452,0.9238095238095239,0.040648009947959404,,,,
30,population,08 only,MRNA,2021-08-26,684,0.9907407407407407,0.09020024777078657,,,,
31,population,shared,IPM,2021-10-18,873,1.0,0.3110434321897399,,,,
32,population,shared,EDIT,2021-08-26,1170,0.9861111111111112,0.07621318837825669,,,,
33,population,split only,ATKR,2021-11-30,1236,0.9527896995708155,0.04429558411970569,,,,
