ticker,date,as_of,src,rr10sma,gain10sma_pct,base_age,base_censored,base_bucket,1w,1m,3m,6m,12m,adr,qqq_1w,qqq_1m,qqq_3m,qqq_6m,qqq_12m,rel_1w,rel_1m,rel_3m,rel_6m,rel_12m
GME,2021-02-24,2021-02-23,db,104.02,351.2,17,False,6-30,-9.169859128949941,-30.826027160455872,223.5251975169339,794.035772265237,1013.1188526070364,54.571683100622025,-4.190246485197891,-1.210734692742843,10.906924874587975,14.25928554567506,40.4048556465225,-5.197396362138362,-29.978249535111644,191.70874396055225,682.4622462809352,692.7922773621011
NVAX,2020-06-15,2020-06-12,db,59.93,214.03,18,False,6-30,-1.5766729033809712,14.43998002025948,390.5274475989837,1042.1052527795632,824.3407967862142,12.47957833632741,-1.5895583093094579,6.194855810477162,33.30848590485744,14.71362130212015,30.46931948019227,0.013093535306940574,7.7641465274901345,267.9641579224553,895.6143305524387,608.4736859737716
NBR,2020-05-11,2020-05-08,db,50.12,199.8,86,False,>60,2.690908258611513,-16.941177143770105,-86.68352874252389,-86.50388547978223,-92.48764354052419,17.706083426317637,5.697088880049672,12.110460894067309,-1.6844889423882181,12.22371365288999,22.077501311032343,-2.8441470368684607,-25.91340523101424,-86.4553709641271,-87.97391916474847,-93.84623998787816
APT,2020-02-21,2020-02-20,db,29.73,162.18,17,False,6-30,0.5791546486975774,48.85714394705636,57.40181656232672,48.433049923152474,35.6770873593633,15.79840751590445,0.3461842200018994,5.103387428034245,16.39326897349449,26.096935778535645,37.42511889449989,0.23216670420163066,41.62925438438501,35.23274838012398,17.713447203701914,-1.2719883738856574
MARA,2020-11-16,2020-11-13,db,38.71,109.72,70,False,>60,-0.8298746976857507,1.2711953873680848,-32.67605247868354,222.97298298690146,94.30894860509626,11.401826708040671,-1.249083668379225,-1.2189283599337797,6.771147878255612,32.86948370011016,45.19081968825256,0.42451147418796076,2.5208511164722447,-36.945561737257236,143.07536538326576,33.83005139189106
TVIX,2020-02-22,2020-02-21,yf,19.55,105.95,118,False,>60,19.57077150450337,16.88311230510413,-36.84210499220845,-70.87741124716153,,9.455314738390639,-1.8624286454859251,3.130605985614876,14.412124827239836,22.5863730860302,35.280078436842885,21.839953703932192,13.335038796734612,-44.7979004819998,-76.2432087517587,
JMIA,2020-07-20,2020-07-17,db,17.72,103.61,6,False,6-30,1.8691635193715639,35.283693174896015,114.92958357541774,5.386745243812641,-66.41725200248526,12.61099313905127,-1.7236341411141831,6.670733541832097,20.70752613440088,16.58385378763194,36.06449228901945,3.65581045766854,26.82362695278835,78.05814637946106,-9.604339005824814,-75.31850710457184
LCID,2021-10-25,2021-10-22,db,64.75,102.61,79,False,>60,0.12458598337032889,-3.3667310206350165,5.283845460050496,22.634790752025435,149.84456591037886,5.52254553716897,1.398600862769217,1.2257641307520162,2.9027975095500924,11.858358640118816,32.34685000183908,-1.2564422670122588,-4.536883658842983,2.313880679754532,9.633998069449202,88.78013787778633
TLRY,2021-01-04,2020-12-31,db,16.55,101.11,36,False,31-60,-3.8416798523148166,-8.62832181426999,70.30927520437338,16.174402597470873,-51.78050379300709,7.81930395576141,1.3503070666310846,4.902438582238644,13.125769114006802,26.942120132320312,48.40613222084929,-5.122813210158816,-12.898423124740944,50.548611990198026,-8.48238356475024,-67.50842065256745
MARA,2021-01-28,2021-01-27,db,13.44,90.31,12,False,6-30,-8.40685418136935,61.6300320074757,539.4927420114874,1142.9577571795687,1757.8947200009036,17.978240987544364,-1.3404721853287227,3.188379174313516,13.213366334089539,23.023586773924798,47.294175274833286,-7.162391866819595,56.63588603755292,464.8562203550788,910.3410165269357,1161.349755707783
SE,2020-05-05,2020-05-04,db,35.83,81.81,4,False,<=5,-0.19877233474567824,31.187652123517907,17.962409018003058,78.79572882330478,119.16665821479135,4.775015571225947,-0.15772897281500775,17.369263464569727,-5.183706527229637,8.019094696778462,13.579096553807467,-0.04110820147460448,11.77343049709052,24.411538035791146,65.5223359584749,92.96390345116221
MSTR,2021-01-28,2021-01-27,db,28.42,66.2,8,False,6-30,-1.9461936687744208,67.41575172743902,207.60904764123947,359.0344999754813,278.9377488147822,8.82669109255946,-1.3404721853287227,3.188379174313516,13.213366334089539,23.023586773924798,47.294175274833286,-0.613951330259277,62.242834965580585,171.7073589469053,273.12722869885874,157.265942870945
SRNE,2020-07-30,2020-07-29,yf,5.36,55.12,50,False,31-60,-3.8461588520790846,26.84124109081296,212.49999759658692,103.94737098025489,191.35337405749598,9.801564040666225,-1.9477129324848907,6.971657048143376,18.822679299982028,17.567395193502257,34.55381611226682,-1.9361566939147479,18.574624896880042,162.9969290691076,73.47273080651419,116.53296983743759
JMIA,2021-01-12,2021-01-11,db,9.65,54.76,11,False,6-30,2.242150308907087,-4.327305218091526,252.12355937409873,387.0494079706803,537.7622531523565,11.276623495887492,1.6520845246195792,4.353122030157586,10.248127463460289,19.327923909088508,44.76495959079641,0.580475832883276,-8.318320601601659,219.3918731098663,308.1604640517714,340.55015450914607
GRWG,2020-11-12,2020-11-11,db,6.53,48.57,2,False,<=5,10.326665116401523,15.946850239648969,143.20559081344655,317.13148632707436,355.21741235188637,10.933844008680648,0.9933644723722601,1.4175427939272067,9.265088025439393,27.94282622392208,45.06027342015011,9.241498877465837,14.326227046581309,122.58307315583066,226.02960137602562,213.81259776989552
TLRY,2021-02-02,2021-02-01,db,6.77,40.3,10,False,6-30,11.17578382257527,131.23487109971444,234.50088459558395,158.80757737373924,8.89396045972628,13.71646905639393,-1.7341456954456769,2.7666316290559934,19.90662539765269,21.5261725840173,48.0146627198907,13.137757371964964,125.00968206720482,178.96780806420077,112.96447659849753,-26.430288419599425
TSLA,2020-06-30,2020-06-29,db,17.31,40.12,13,False,6-30,1.5115841040934441,20.880238404411312,96.23414731608628,134.5253110260668,351.6915897626436,4.278456197230858,-1.5806042309682966,4.243349365116833,31.2802206277073,14.124203776755785,31.09237673634906,3.1418485257910023,15.959664708223297,49.477313777967666,105.50006332121606,244.5597684685195
AMD,2021-10-13,2021-10-12,db,30.67,38.45,48,False,31-60,3.172579741075676,-0.15208748798116734,15.670084505565484,33.67268830224908,24.617392068597745,2.775014806263295,-0.06715803980439361,-5.059605371906695,-1.3476416574673578,6.320924455376398,21.90693557244694,3.241914987437755,5.16905149083231,17.25019700385193,25.725664056234198,2.22338169967371
TDOC,2021-01-06,2021-01-05,db,9.14,37.63,106,False,>60,1.0001032947497768,-1.3208300073829005,-10.763289716500635,-3.7914683288269413,142.24928090472702,4.024711838442991,-0.3514978847981798,2.2601491461739176,11.516669785183065,23.88482800853968,46.4354508260415,1.3563687871448238,-3.5018325158494124,-19.979039496608053,-22.340343674254303,65.43076115667365
W,2020-07-27,2020-07-24,db,10.58,35.43,3,False,<=5,3.224756241500759,11.000939581324864,82.0030933918638,108.72212642394459,58.96539635291518,5.79715627872031,-1.487990101977199,4.862327909481934,19.717721463559545,15.19980230482565,32.01367551650425,4.783930759667254,5.853972340898084,52.02686049054406,81.18271233804136,20.415855199063415
FUTU,2020-11-05,2020-11-04,db,10.75,34.99,63,False,>60,-1.056673728477131,11.875448238595588,-15.59683407605339,196.54509933633003,183.7465492479726,5.316838712924029,5.621396015642066,4.59331727698038,6.1136028595061065,33.5419081946756,44.25076027269157,-6.322648626164917,6.962329096352238,-20.459617193757907,122.06145122925052,96.70367678588194
NIO,2020-09-29,2020-09-28,db,18.53,34.49,17,False,6-30,0.0,1.6756727888777467,172.60868414438383,562.323944873929,974.8571123395648,8.31761129461919,3.6222809784829835,-5.240465999118471,15.394203250821082,49.855355829099054,49.10816682884595,-3.495658408865898,7.29862051446124,136.24122916455437,341.97549110574954,620.8573045991111
QS,2021-10-29,2021-10-28,db,8.87,34.31,99,False,>60,1.9670805865904972,0.5144406743635921,4.958672800657649,-32.83976778559747,119.15443730912116,5.855708869365245,1.84218251779098,6.766335184064887,5.143359523208235,13.59650580987488,42.201954954802055,0.12263883757370753,-5.855679600618535,-0.17565229358095236,-40.87825876721261,54.11492576088559
SOXL,2020-12-30,2020-12-29,db,15.57,29.63,14,False,6-30,-0.5934310824965316,12.183831855093686,73.59323054446672,152.0416803900281,57.659596994452265,4.677852007061284,1.0330368260354383,4.8550818616707625,13.617428965125168,29.10856936204871,47.344126791998534,-1.6098376923307955,6.989408489605986,52.78750111283641,95.21684860688684,7.000937483592939
NVAX,2020-04-03,2020-04-02,db,4.05,28.2,24,False,6-30,8.791208050867816,15.3078130519132,208.68597690876118,171.23286290689444,13.606556339053743,18.500371622218353,-3.069299732983244,-13.868238224067486,-13.764638696447118,1.4998697611666723,2.6657488587783496,12.236069430199837,33.87374259437619,257.9575388130755,167.22483836197662,10.656725930402544
TSLA,2020-12-24,2020-12-23,db,15.13,27.68,3,False,<=5,3.726896264195001,23.786527124987078,69.83383621626001,222.41609735417774,670.4546318482043,5.8815968954660125,-0.07165507692725726,6.325485091385197,16.883157093598754,24.07918997321934,46.33619289739723,3.801275147753591,16.422254757261978,45.30223210882207,159.8470359322675,426.49629363284316
BLDP,2020-06-29,2020-06-26,db,14.56,27.5,12,False,6-30,1.5625003326152243,26.27196196736388,66.05838412538381,91.17646882042574,259.2105207846104,6.725892287607029,-1.4748649515904488,5.063632318124034,25.39749197449641,12.797845222131944,30.341099370695247,3.08283290625615,20.186175921486104,32.42560238697365,69.4859227531726,175.59267377590663
CAN,2020-12-30,2020-12-29,db,3.43,26.61,22,False,6-30,-3.864730738456079,-30.782608363939367,106.21762317300178,115.13513339358235,-29.307283513817183,12.590386582947929,1.0330368260354383,4.8550818616707625,13.617428965125168,29.10856936204871,47.344126791998534,-4.847689150356604,-33.987566070116536,81.50175114092771,66.63118060761428,-52.022033028857884
CAN,2021-03-09,2021-03-08,db,4.79,26.45,11,False,6-30,-14.29213620303722,170.11331231422514,394.0414562977806,839.4088652015395,347.652550944339,24.2571763556527,-7.308627245534938,-10.084529039736012,-2.5321231128973998,11.310875145450883,45.00896388902944,-7.534152046708009,200.40804928174745,406.87618534056156,743.9506597841457,208.70681297117093
APT,2020-06-17,2020-06-16,db,8.97,26.4,75,False,>60,23.24273218841173,-12.157652745718773,0.07609798284822222,289.05322997911793,268.34733513805736,8.12441448026718,-0.1849663423926451,8.769640007897483,43.74925334454831,16.545662543592265,34.10385065634769,23.47111218853839,-19.24001288603766,-30.381483274226962,233.82042839526358,174.6731979247771
ETCG,2020-02-06,2020-02-05,yf,1.38,25.73,4,False,<=5,0.09917582362151123,108.39642975309025,41.49533283367928,-0.721309224113087,,11.977945953922053,2.889865593712626,6.555240092134662,14.237467743640053,26.805734498204114,34.53824563888719,-2.7123077224251446,95.57595625789685,23.860704923194298,-21.708043276786547,
DQ,2020-12-10,2020-12-09,db,3.29,25.33,35,False,31-60,2.192329550314276,-2.095561547071101,107.44411909363612,257.62859200342024,341.4550286923371,8.090171490889956,-0.8359557306695797,4.407624421320033,8.431669935398878,24.058327457516306,48.54360422439543,3.053813812553874,-6.228650450036655,91.31321985285905,188.27455547140914,197.1888496965907
SNAP,2020-11-19,2020-11-18,db,10.38,24.89,8,False,6-30,5.642230981015972,45.993536397770264,86.63298214872412,132.30418296064786,176.58272449763467,6.2360597496271355,0.12077501332590224,0.5545769040232962,4.36738352903594,27.781936648300864,43.726408548594684,5.514795472723,45.188355311879306,78.82309188751594,81.79735653876305,92.43695524759497
SHOP,2020-06-15,2020-06-12,db,18.88,24.2,13,False,6-30,2.034987425866386,0.04042465104059367,96.56414705598431,99.59145163347574,139.43381499001123,5.218186952066723,-1.5895583093094579,6.194855810477162,33.30848590485744,14.71362130212015,30.46931948019227,3.683090607974293,-5.79541364077013,47.450588551633956,73.99106520036858,83.5173326142487
GUSH,2021-01-05,2021-01-04,db,4.06,22.69,15,False,6-30,3.6057520920750763,-6.883984323959469,85.03479834574846,14.797211985460823,-97.43209347666586,7.859922045747501,-1.0778278072416603,1.4239978401629605,12.963626616001012,22.871858033440052,45.238091009174084,4.734610851640397,-8.191337692303568,63.800334575606435,-6.571599206859624,-98.23193316196098
ERX,2022-01-03,2021-12-31,db,6.82,21.0,46,False,31-60,2.1364602910558306,5.487900859705608,14.076952817175425,6.464122616374057,111.90414857743751,4.332301432323337,0.2342920438787699,1.1523276938060656,11.285664933003847,12.518639278339316,27.419710052552393,1.8977220354331026,4.286182300246777,2.5082187232758013,-5.380901067411681,66.30405805353092
Z,2020-12-07,2020-12-04,db,11.99,20.86,19,False,6-30,-0.9995389176780889,7.0235162449240995,27.52742575506495,74.16151808807516,163.6677397716372,5.2473221010010045,2.177162207603689,6.486355657104559,7.7368183977011284,30.217963040230433,51.839396961738046,-3.109012872002992,0.5044407656782379,18.369400221480923,33.74615454111236,73.64909572057819
